year,Block,Plot,Code,Snow,Temp,N,ACOROS,ARTSCO,BISBIS,BISVIV,CALLEP,CARsp,CARSCO,CASOCC,CHIJAM,DESCAE,ERISIM,GENALG,LEWPYG,LLOSER,MERLAN,PEDGRO,POTDIV,RHOINT,SALsp,TRIPAR,TRISPI,STELON,FESBRA,LUZSPI,JUNsp,DODPUL,GENAMA,POAALP,,
2007,1,15,PNX,P,X,N,176,176,176,.,.,.,176,.,.,170,.,212,.,.,.,.,.,.,.,.,.,.,190,187,.,.,.,.,,
2007,1,16,PXX,P,X,X,176,176,176,.,150,.,.,187,.,176,.,214,179,.,.,.,.,.,.,176,.,.,187,179,.,.,.,225,,
2007,2,17,XNX,X,X,N,176,176,183,.,164,.,.,193,190,179,187,214,176,.,.,.,.,.,.,.,.,.,.,183,.,.,.,.,,
2007,2,18,XXW,X,W,X,170,176,179,.,162,.,.,.,190,176,.,.,.,.,.,.,179,.,.,.,.,190,.,.,.,.,.,.,,
2007,2,19,XNW,X,W,N,176,176,183,.,162,.,.,183,.,176,.,218,.,.,.,.,193,.,.,.,.,197,.,.,.,.,.,.,,
2007,2,20,XNX,X,X,N,176,.,179,.,162,.,179,.,.,176,.,218,.,.,.,.,179,.,.,.,.,212,.,.,.,.,.,.,,
2007,2,21,XXW,X,W,X,176,176,179,.,162,.,.,179,190,176,183,218,176,.,.,.,183,.,.,176,.,.,197,179,.,.,204,.,,
2007,2,22,XXX,X,X,X,176,179,176,.,162,.,.,.,.,176,.,218,.,.,.,.,183,.,.,.,.,193,.,.,.,.,.,.,,
2007,2,23,XNW,X,W,N,176,176,.,190,162,.,176,.,187,176,.,214,179,.,176,.,176,170,.,.,.,197,193,.,.,.,.,.,,
2007,2,24,XXX,X,X,X,176,176,.,190,162,.,.,183,.,176,183,212,179,.,.,.,.,176,.,.,.,.,183,.,.,.,207,.,,
2007,2,25,PNX,P,X,N,176,176,176,.,162,.,176,.,212,176,183,.,176,.,.,.,183,.,.,.,.,.,.,176,.,.,.,.,,
2007,2,26,PXX,P,X,X,176,176,.,.,162,.,.,.,.,183,.,.,176,.,.,.,179,.,.,.,.,.,.,176,.,.,.,.,,
2007,2,27,PNW,P,W,N,176,179,.,190,162,.,187,.,187,176,.,214,176,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2007,2,28,PXW,P,W,X,176,176,.,190,162,.,.,183,187,176,187,218,179,.,.,.,.,.,.,.,.,.,204,183,.,.,.,.,,
2007,2,29,PXW,P,W,X,176,179,.,.,155,.,.,183,.,176,.,212,.,.,.,.,176,.,.,179,.,.,.,.,.,.,.,.,,
2007,2,30,PNW,P,W,N,176,176,187,.,162,.,.,190,.,176,.,218,.,.,.,.,200,.,.,.,.,.,.,.,.,.,.,.,,
2007,2,31,PXX,P,X,X,176,176,187,.,162,.,.,.,.,179,187,.,179,.,.,.,.,.,183,.,.,.,.,.,.,.,.,.,,
2007,2,32,PNX,P,X,N,176,179,183,.,162,.,176,.,.,176,187,.,176,.,.,.,.,.,179,.,.,.,.,187,.,.,.,.,,
2007,3,33,XXX,X,X,X,170,170,179,.,155,.,.,.,.,176,.,214,176,.,.,.,.,.,.,.,.,.,.,.,.,.,214,.,,
2007,3,34,XNW,X,W,N,176,176,179,.,155,.,.,.,.,176,.,214,166,.,.,.,.,.,.,.,.,.,.,179,.,.,204,.,,
2007,3,35,XNX,X,X,N,176,170,179,.,155,.,176,197,.,170,.,207,176,.,.,.,.,.,.,187,.,.,197,179,.,.,212,.,,
2007,3,36,XNW,X,W,N,170,176,183,.,155,.,.,187,183,176,.,204,179,.,.,.,.,.,.,.,.,.,197,179,.,.,212,.,,
2007,3,37,XNX,X,X,N,176,176,187,.,155,.,.,.,187,176,.,218,176,.,.,.,.,.,.,.,.,.,183,190,.,.,214,.,,
2007,3,38,XXW,X,W,X,176,.,.,.,155,.,179,190,.,176,.,207,176,.,.,.,.,.,.,.,.,.,193,183,.,187,207,.,,
2007,3,39,XXX,X,X,X,176,176,179,190,155,.,176,183,187,176,.,218,176,.,.,.,.,166,.,.,.,.,183,176,.,.,207,225,,
2007,3,40,XXW,X,W,X,170,176,.,190,162,.,.,.,.,176,.,214,176,.,.,.,176,.,.,.,.,.,187,176,.,.,204,.,,
2007,3,41,PXX,P,X,X,176,176,187,.,155,.,170,.,.,176,.,214,.,.,.,.,.,.,.,.,.,.,204,.,.,.,.,.,,
2007,3,42,PNW,P,W,N,170,176,176,.,150,.,170,.,.,176,.,225,.,.,.,.,.,.,.,183,.,.,.,.,.,.,207,.,,
2007,3,43,PNX,P,X,N,176,170,179,190,155,.,170,.,.,176,.,212,176,.,.,.,.,.,.,.,.,.,.,193,.,190,.,.,,
2007,3,44,PXW,P,W,X,176,.,179,190,155,.,176,.,183,176,.,.,176,.,.,179,.,.,.,.,.,.,204,176,176,187,204,.,,
2007,3,45,PXW,P,W,X,.,179,176,.,155,.,170,176,.,170,.,214,.,.,.,.,.,155,.,.,.,.,193,187,183,.,204,.,,
2007,3,46,PXX,P,X,X,176,170,179,.,162,193,170,.,.,176,.,214,187,.,.,.,.,.,.,.,.,.,187,176,.,.,218,.,,
2007,3,47,PNX,P,X,N,176,176,179,190,155,.,170,.,.,176,.,212,.,.,.,.,.,164,.,.,.,.,.,.,.,.,214,.,,
2007,3,48,PNW,P,W,N,170,176,179,190,155,.,170,.,187,170,.,.,183,.,.,.,.,164,.,.,.,.,183,.,.,.,207,.,,
2008,1,1,XXW,X,W,X,182,.,193,.,168,.,182,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,2,XNW,X,W,N,185,.,190,.,.,.,.,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,3,XNW,X,W,N,182,.,190,.,171,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,4,XXX,X,X,X,182,.,193,.,.,.,.,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,5,XNX,X,X,N,182,.,183,.,168,.,185,.,.,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,6,XXX,X,X,X,182,.,185,.,168,.,185,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,7,XNX,X,X,N,182,.,185,.,171,.,.,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,8,XXW,X,W,X,185,.,193,.,.,.,.,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,9,PNW,P,W,N,182,.,190,.,171,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,10,PNX,P,X,N,182,.,183,.,176,.,203,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,11,PXW,P,W,X,182,.,190,.,171,.,.,.,.,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,12,PXX,P,X,X,185,.,190,.,168,.,185,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,13,PNW,P,W,N,185,.,198,.,.,.,.,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,14,PXW,P,W,X,185,.,185,.,.,.,.,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,15,PNX,P,X,N,182,.,190,.,.,.,183,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,1,16,PXX,P,X,X,198,.,190,.,171,.,.,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,17,XNX,X,X,N,182,.,198,.,171,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,18,XXW,X,W,X,182,.,198,.,168,.,.,.,.,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,19,XNW,X,W,N,182,.,185,.,168,.,.,.,.,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,20,XNX,X,X,N,185,.,193,.,168,.,.,.,.,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,21,XXW,X,W,X,193,.,193,.,.,.,.,.,.,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,22,XXX,X,X,X,185,.,190,.,.,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,23,XNW,X,W,N,182,.,190,.,168,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,24,XXX,X,X,X,185,.,.,.,168,.,.,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,25,PNX,P,X,N,182,.,198,.,168,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,26,PXX,P,X,X,185,.,.,.,168,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,27,PNW,P,W,N,185,.,198,.,168,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,28,PXW,P,W,X,185,.,.,.,168,.,185,.,.,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,29,PXW,P,W,X,182,.,.,.,171,.,203,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,30,PNW,P,W,N,182,.,.,.,171,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,31,PXX,P,X,X,185,.,198,.,171,.,.,.,.,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,2,32,PNX,P,X,N,190,.,198,.,168,.,198,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,33,XXX,X,X,X,176,.,190,.,162,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,34,XNW,X,W,N,182,.,.,.,165,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,35,XNX,X,X,N,182,.,198,.,165,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,36,XNW,X,W,N,185,.,198,.,162,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,37,XNX,X,X,N,182,.,203,.,165,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,38,XXW,X,W,X,183,.,.,.,169,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,39,XXX,X,X,X,.,.,.,.,165,.,183,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,40,XXW,X,W,X,.,.,.,.,169,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,41,PXX,P,X,X,182,.,198,.,169,.,183,.,.,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,42,PNW,P,W,N,182,.,.,.,169,.,182,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,43,PNX,P,X,N,185,.,190,.,169,.,182,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,44,PXW,P,W,X,190,.,.,.,169,.,.,.,.,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,45,PXW,P,W,X,.,.,190,.,169,.,182,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,46,PXX,P,X,X,.,.,190,.,169,.,.,.,.,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,47,PNX,P,X,N,182,.,190,.,169,.,183,.,.,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
2008,3,48,PNW,P,W,N,182,.,.,.,169,.,.,.,.,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
